상태,상품명,PRICE,SALE,상품 설명,구성품,재고수량,1,2,3,4,판매 페이지,재고 위치,중,당
판매가능,퇴마록 은장도,9.8,6-5,"퇴마록 공식 굿즈 월향 레터나이프
다른 구성품은 없고 월향 레터나이프와 박스만 있음",레터나이프/박스,,No,Yes,Yes,No,https://tumblbug.com/toemarok_cb,,No,No
판매가능,화산귀환 백아 목베개(택 없는 새상품),3.9,4-3,택이 없어서 저렴하게 판매,목베개+포스터,10,Yes,Yes,Yes,No,https://m.showroom.co.kr/product/detail.html?product_no=35095,,No,No
판매가능,망아살 더던 포토카드 5종,0,3,"5종 1세트 , 5종 다 있는지 확인하기",포토카드 5종,,Yes,No,No,No,https://tumblbug.com/the_dawn_official,,No,No
판매가능,망아살 더던 스페셜 매거진 + 대형 접지 포스터,2.9,5,매거진이랑 접지 포스터 같이 제공,매거진/접지포스터,,Yes,No,No,No,https://tumblbug.com/the_dawn_official,,No,No
판매가능,망아살 더 던 키링 세트 5종,3.8,3,아크릴 키링 5종 세트,아크릴 키링 5종,,No,No,No,No,https://tumblbug.com/the_dawn_official,,No,No
판매가능,하츠네미쿠 인형,4.8,3,하츠네미쿠 한국 공식 라이센스 20cm 인형,"인형, 품질보증서, 박스",50,No,Yes,Yes,No,https://smartstore.naver.com/klpkorea/products/10439191152,,No,No
